;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
461;462;154.0;3.0;USA;79000000.0;95632614.0;118483;674.0;198.0;0;333.0;22000.0;20000.0;16000.0;61110;7.2;Good
4908;4909;84.0;0.0;USA;;140016.0;3507;40.0;93.0;443;157.0;962.0;873.0;98.0;2016;6.0;Fair
677;678;96.0;0.0;Germany;65000000.0;42345531.0;104831;423.0;239.0;32000;545.0;14000.0;1000.0;974.0;17913;5.4;Fair
2299;2300;148.0;0.0;USA;20000000.0;8093318.0;61935;242.0;401.0;18000;0.0;204.0;178.0;175.0;707;6.7;Good
3419;3420;107.0;5.0;USA;8000000.0;53481.0;5557;34.0;26.0;294;53.0;954.0;551.0;463.0;2512;6.4;Good
2267;2268;88.0;0.0;USA;25000000.0;14174654.0;74945;359.0;111.0;0;82.0;869.0;624.0;329.0;2857;1.9;Bad
4719;4720;80.0;0.0;USA;560000.0;2245.0;57;2.0;3.0;88;6.0;;;;0;7.2;Good
1586;1587;108.0;0.0;USA;30000000.0;145096820.0;200260;431.0;142.0;0;6.0;3000.0;1000.0;1000.0;7872;6.4;Good
3509;3510;192.0;0.0;India;7000000.0;2921738.0;34449;119.0;29.0;2000;147.0;8000.0;860.0;397.0;9984;7.9;Good
1236;1237;130.0;1.0;UK;30000000.0;51185897.0;69457;271.0;105.0;0;46.0;387.0;244.0;162.0;1233;6.7;Good
3394;3395;92.0;0.0;USA;8000000.0;5018450.0;8546;86.0;72.0;859;26.0;1000.0;905.0;417.0;2687;5.3;Fair
3378;3379;112.0;0.0;USA;;18811135.0;15337;172.0;95.0;0;3.0;876.0;801.0;268.0;2832;7.5;Good
3416;3417;98.0;4.0;UK;8000000.0;117190.0;29994;86.0;68.0;0;36.0;10000.0;692.0;405.0;11770;6.9;Good
100;101;166.0;2.0;USA;150000000.0;127490802.0;459346;822.0;362.0;23000;21000.0;11000.0;1000.0;919.0;13333;7.8;Good
1674;1675;106.0;1.0;USA;30000000.0;24048000.0;23579;88.0;44.0;0;32.0;18000.0;723.0;650.0;20772;5.5;Fair
180;181;107.0;0.0;USA;135000000.0;123207194.0;183208;337.0;362.0;26000;563.0;40000.0;1000.0;939.0;43291;7.2;Good
2770;2771;92.0;0.0;USA;14000000.0;49122319.0;47169;162.0;264.0;17000;30.0;941.0;459.0;309.0;2348;5.9;Fair
3413;3414;111.0;3.0;UK;;146083.0;1591;27.0;36.0;75;2.0;735.0;306.0;227.0;1378;6.3;Good
2215;2216;115.0;3.0;USA;20000000.0;29753944.0;90677;389.0;69.0;0;39.0;13000.0;481.0;254.0;14275;6.5;Good
3738;3739;93.0;0.0;USA;5000000.0;15126948.0;20815;335.0;123.0;0;13.0;742.0;152.0;141.0;1227;4.9;Fair
4701;4702;71.0;1.0;USA;650000.0;;5;1.0;1.0;5;0.0;1000.0;338.0;21.0;1359;7.4;Good
2129;2130;106.0;4.0;Spain;22000000.0;;6920;22.0;82.0;0;195.0;20.0;10.0;0.0;30;6.7;Good
4586;4587;97.0;0.0;UK;1000000.0;144431.0;1290;13.0;40.0;587;10.0;102.0;7.0;5.0;118;7.3;Good
3117;3118;140.0;0.0;UK;10000000.0;32101000.0;27800;96.0;48.0;0;32.0;535.0;211.0;120.0;1109;5.4;Fair
4102;4103;89.0;1.0;USA;3000000.0;2223990.0;761;14.0;23.0;26;269.0;489.0;26.0;24.0;539;6.6;Good
3387;3388;93.0;2.0;USA;8000000.0;17536788.0;49240;142.0;231.0;12000;132.0;434.0;265.0;216.0;1183;7.1;Good
1407;1408;109.0;0.0;USA;35000000.0;124732962.0;286178;631.0;208.0;0;64.0;11000.0;11000.0;505.0;23923;6.8;Good
1891;1892;134.0;0.0;USA;25000000.0;56505065.0;95241;439.0;84.0;11000;170.0;2000.0;722.0;472.0;4453;7.8;Good
4229;4230;117.0;0.0;USA;2200000.0;379643.0;1573;29.0;18.0;285;84.0;861.0;425.0;275.0;2161;5.9;Fair
579;580;85.0;0.0;USA;71500000.0;144156464.0;74343;98.0;73.0;694;84.0;1000.0;1000.0;595.0;4166;5.3;Fair
2513;2514;154.0;3.0;USA;9000000.0;;4550;50.0;15.0;419;117.0;715.0;490.0;86.0;1567;6.8;Good
4885;4886;83.0;0.0;USA;240000.0;;110;1.0;2.0;72;12.0;1000.0;185.0;29.0;1244;6.5;Good
3220;3221;103.0;0.0;USA;5000000.0;3093491.0;8307;37.0;129.0;5000;593.0;374.0;362.0;241.0;1283;6.6;Good
2021;2022;98.0;0.0;USA;25000000.0;1512815.0;8885;56.0;123.0;0;149.0;20000.0;617.0;439.0;21414;5.8;Fair
2149;2150;114.0;2.0;USA;35000000.0;69700000.0;7748;48.0;11.0;0;19.0;1000.0;883.0;842.0;3688;5.8;Fair
4407;4408;95.0;1.0;China;;190666.0;2410;20.0;101.0;784;611.0;9.0;4.0;3.0;18;5.7;Fair
4092;4093;89.0;1.0;USA;3000000.0;;128334;349.0;104.0;0;21.0;240.0;177.0;124.0;1011;7.8;Good
2016;2017;137.0;4.0;France;25000000.0;717753.0;33107;128.0;252.0;27000;179.0;17000.0;10000.0;4000.0;33747;6.1;Good
4230;4231;120.0;5.0;USA;2300000.0;12985267.0;4977;63.0;11.0;13000;16.0;2000.0;848.0;835.0;6752;5.9;Fair
1195;1196;134.0;0.0;USA;40000000.0;102310175.0;64989;279.0;300.0;40000;0.0;1000.0;575.0;336.0;2676;7.8;Good
3619;3620;90.0;2.0;USA;6000000.0;4542775.0;18313;73.0;76.0;985;138.0;373.0;308.0;263.0;1831;5.1;Fair
2244;2245;113.0;3.0;USA;20000000.0;18882880.0;20539;125.0;88.0;681;0.0;995.0;975.0;949.0;4039;5.9;Fair
3751;3752;141.0;2.0;USA;5000000.0;;2017;33.0;14.0;270;54.0;746.0;333.0;70.0;1332;6.2;Good
1793;1794;100.0;2.0;France;28000000.0;20285518.0;32103;112.0;177.0;0;11.0;23000.0;727.0;561.0;25387;5.7;Fair
3557;3558;107.0;2.0;USA;;;3157;33.0;6.0;337;0.0;804.0;167.0;146.0;1285;7.2;Good
4427;4428;91.0;1.0;USA;1500000.0;119841.0;2419;55.0;31.0;304;18.0;954.0;767.0;597.0;3901;6.5;Good
1021;1022;108.0;2.0;USA;22000000.0;9528092.0;38513;127.0;214.0;9000;218.0;6000.0;3000.0;405.0;10191;6.8;Good
3678;3679;104.0;0.0;USA;5000000.0;1056102.0;18792;153.0;91.0;1000;10.0;715.0;436.0;93.0;1315;6.6;Good
4374;4375;81.0;1.0;Germany;3500000.0;7267324.0;161471;709.0;181.0;0;670.0;486.0;37.0;34.0;623;7.8;Good
3527;3528;103.0;0.0;USA;3500000.0;236266.0;15104;290.0;103.0;0;835.0;13000.0;0.0;;13000;6.2;Good
5000;5001;117.0;0.0;USA;;321952.0;12611;113.0;71.0;0;17000.0;725.0;572.0;476.0;2783;8.2;Excellent
2169;2170;109.0;4.0;USA;37000000.0;69148997.0;98794;251.0;62.0;0;322.0;1000.0;960.0;861.0;6313;5.4;Fair
2379;2380;97.0;4.0;USA;23000000.0;6923891.0;43867;83.0;136.0;0;31.0;2000.0;2000.0;562.0;5519;6.3;Good
2988;2989;100.0;0.0;USA;12000000.0;;763;10.0;2.0;135;55.0;3000.0;642.0;212.0;4277;5.7;Fair
3290;3291;126.0;0.0;USA;20000000.0;17804273.0;20449;370.0;136.0;1000;37.0;12000.0;10000.0;883.0;25660;7.0;Good
2387;2388;107.0;2.0;China;;;625;4.0;23.0;124;15.0;82.0;39.0;27.0;151;5.7;Fair
4245;4246;81.0;1.0;USA;2100000.0;;1274;17.0;19.0;380;7.0;412.0;308.0;106.0;1020;5.5;Fair
5008;5009;65.0;1.0;USA;27000.0;8231.0;803;16.0;8.0;85;0.0;0.0;0.0;;0;6.7;Good
4106;4107;86.0;4.0;Canada;3000000.0;703002.0;37495;230.0;272.0;37000;59.0;694.0;324.0;104.0;1249;6.1;Good
3541;3542;102.0;1.0;USA;6900000.0;7993039.0;120036;408.0;152.0;10000;0.0;14000.0;1000.0;787.0;18643;7.7;Good
4100;4101;94.0;1.0;UK;3000000.0;2912363.0;25063;177.0;152.0;0;151.0;113.0;64.0;29.0;278;7.3;Good
4724;4725;86.0;0.0;USA;500000.0;39552600.0;3411;36.0;5.0;816;24.0;407.0;189.0;142.0;1090;6.1;Good
680;681;135.0;1.0;USA;65000000.0;32598931.0;49300;265.0;134.0;892;138.0;324.0;192.0;184.0;1013;6.2;Good
1473;1474;99.0;0.0;USA;35000000.0;19294901.0;26126;325.0;158.0;0;0.0;1000.0;573.0;520.0;2535;5.0;Fair
4017;4018;100.0;0.0;USA;3500000.0;29233.0;75;2.0;6.0;121;117.0;21.0;3.0;0.0;24;7.0;Good
2096;2097;83.0;0.0;USA;22000000.0;22264487.0;41239;166.0;98.0;887;2.0;591.0;489.0;137.0;1729;4.6;Fair
3826;3827;98.0;0.0;UK;;238774.0;9611;70.0;64.0;864;16.0;10000.0;838.0;621.0;11703;6.8;Good
1004;1005;118.0;0.0;USA;50000000.0;25450527.0;80196;190.0;245.0;0;670.0;6000.0;450.0;294.0;7654;6.5;Good
1430;1431;88.0;2.0;USA;35000000.0;49474048.0;31191;120.0;124.0;0;12.0;49000.0;1000.0;931.0;53370;5.4;Fair
2599;2600;105.0;1.0;USA;14000000.0;234760500.0;126464;175.0;94.0;0;102.0;901.0;605.0;383.0;3464;7.3;Good
1122;1123;100.0;0.0;Australia;45000000.0;17300889.0;27648;148.0;60.0;0;23.0;1000.0;642.0;579.0;3855;4.9;Fair
1247;1248;155.0;2.0;USA;36000000.0;44175394.0;56509;227.0;77.0;0;14000.0;12000.0;11000.0;11000.0;37570;7.2;Good
4126;4127;80.0;1.0;USA;3000000.0;;1257;24.0;14.0;48;0.0;231.0;27.0;19.0;313;3.3;Bad
1453;1454;112.0;0.0;USA;35000000.0;30691439.0;86205;232.0;208.0;5000;192.0;1000.0;915.0;844.0;3185;6.2;Good
3559;3560;108.0;0.0;USA;6500000.0;24103594.0;6384;54.0;14.0;391;208.0;876.0;827.0;689.0;4840;6.2;Good
2537;2538;126.0;0.0;USA;15000000.0;13005485.0;56665;469.0;158.0;0;26.0;638.0;624.0;385.0;2282;7.6;Good
4399;4400;99.0;0.0;USA;;;3313;40.0;68.0;2000;4.0;427.0;253.0;114.0;992;3.7;Bad
380;381;116.0;0.0;USA;68000000.0;61355436.0;52136;184.0;64.0;0;176.0;192.0;117.0;84.0;475;6.2;Good
2932;2933;132.0;1.0;UK;12000000.0;30400000.0;9503;68.0;16.0;0;0.0;405.0;194.0;122.0;914;6.6;Good
1562;1563;119.0;0.0;USA;32000000.0;13763130.0;87768;187.0;197.0;12000;238.0;1000.0;561.0;447.0;2925;6.3;Good
256;257;170.0;0.0;USA;110000000.0;102608827.0;264318;799.0;267.0;0;17000.0;29000.0;3000.0;827.0;34582;7.5;Good
3224;3225;86.0;2.0;UK;10000000.0;226792.0;3080;44.0;43.0;117;302.0;893.0;798.0;428.0;3049;6.2;Good
1723;1724;91.0;7.0;France;;;9214;17.0;56.0;0;2.0;295.0;71.0;55.0;545;7.2;Good
1825;1826;93.0;2.0;UK;28000000.0;5204007.0;42876;167.0;95.0;0;31.0;783.0;132.0;57.0;1044;6.3;Good
2989;2990;101.0;0.0;Czech Republic;12000000.0;2060953.0;29990;316.0;131.0;0;61.0;769.0;692.0;611.0;2543;7.1;Good
